channel id,,channel Name,Channel Link,Lead,,Moderator,,Hosts,,Automod Moderators,,influential_casters,channel_age (days),channel_tier_name,,,channel_link,channel_tier,channel_tier_last,top_domains,engagement,wow_engage,got_casts,wow_cast,casters,casters_wow,onchain_experts,trading_experts,contract_experts,split_1,active_npc,wow_npc,active_user,wow_active_user,active_star,wow_star,active_influencer,wow_influencer,active_vip,wow_vip,split_0,top_casters,got_replies,wow_reply,got_likes,wow_likes,got_recasts,wow_recasts,all_caster_fids
,Seed Peers FIDs,,,Lead Username,Lead FID,Mod Username,Mod FID,hosts usernames,hosts_fid,fids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regen,"17672,368422,17672, 17584, 3046, 10857, 10685, 498811,10685, 10857, 17584, 17672, 3046, 498811",Regen,https://warpcast.com/~/channel/regen,rev,17672,automod,368422,"rev, cjh, cyrus, nicnode, innvertir, regentoken","17672, 17584, 3046, 10857, 10685, 498811","10685, 10857, 17584, 17672, 3046, 498811",,[puffdood.eth undefined kenny],170,🎭 subculture,,,<a href='https://warpcast.com/~/channel/regen' target='_blank'>regen</a>,3,3,[youtu.be ham.bot) far.quest],3718.100126,-1039.143653,11582,-3462,8751,-2951,3788,1250,1249,||,2627,-1813,2948,-716,3155,-407,19,-14,2,-1,||,[kkasa34 soundman 0xcuster],69623,-39411,306692,-394882,30705,-11678,
founders,"3,3, 368422",Founders,https://warpcast.com/~/channel/founders,dwr.eth,3,,,"dwr.eth, automod","3, 368422",,,[cryptogirls kevinoconnell dragonite.eth],230,🎭 subculture,,,<a href='https://warpcast.com/~/channel/founders' target='_blank'>founders</a>,3,3,[build.top zora.co far.quest],3560.858999,-1392.26168,5808,-4299,9508,-661,3404,1382,1051,||,2887,159,3422,-585,3114,-231,59,-1,26,-3,||,[beautiful-woman maalaw mrhn],56162,-20940,326091,-991541,42706,-74832,
farcaster,"3,3,3, 368422,3",Farcaster,https://warpcast.com/~/channel/farcaster,dwr.eth,3,dwr.eth,3,"dwr.eth, automod","3, 368422",3,,[itai yb cryptogirls],272,🎭 subculture,,,<a href='https://warpcast.com/~/channel/farcaster' target='_blank'>farcaster</a>,3,2,[far.quest build.top ham.bot)],3359.335035,1415.53338,8471,4316,14814,6725,6763,2708,2234,||,7289,3589,3830,1676,3566,1438,95,21,34,1,||,[hhhhhhhom sparkle kuoengui],60525,44963,193277,76378,23462,9505,
build,"210930,210930, 8446, 531162",BUILD,https://warpcast.com/~/channel/build,andersonbell.eth,210930,,,"andersonbell.eth, macedo, buildbot","210930, 8446, 531162",,,[linda claireujma kevinoconnell],87,🎭 subculture,,,<a href='https://warpcast.com/~/channel/build' target='_blank'>build</a>,3,3,[build.top ham.bot) mirror.xyz],3330.70738,-3.274431938,17294,3324,14102,-97,7479,3247,2892,||,5954,-53,4330,68,3727,-101,70,-10,21,-1,||,[ayushmax ifiwasfrank maheenblues],60079,6126,184029,-75848,22562,-5374,
food,"378,18989, 378, 1887, 13495",Food,https://warpcast.com/~/channel/food,colin,378,,,"giuseppe, colin, alor, galazio","18989, 378, 1887, 13495",,,[dragonite.eth ace claireujma],272,🎭 subculture,,,<a href='https://warpcast.com/~/channel/food' target='_blank'>food</a>,3,4,[build.top ham.bot) far.quest],3204.89003,-1805.38812,10193,454,9615,-1147,3647,1718,1240,||,2935,-113,3135,-675,3489,-342,39,-8,17,-9,||,[maiuyen2k2 kimoanh02 hvmooon],59187,-86399,169787,-279200,14400,-16183,
degentokenbase,"15983,440220",$DEGEN,https://warpcast.com/~/channel/degentokenbase,jacek,15983,notabot,440220,,,,,[dragonite.eth cryptogirls undefined],11,🎭 subculture,,,<a href='https://warpcast.com/~/channel/degentokenbase' target='_blank'>degentokenbase</a>,3,2,[ham.bot) build.top far.quest],2810.80032,1527.159361,3442,1970,9434,4932,4503,1998,1496,||,3616,2090,2841,1362,2883,1448,73,25,21,7,||,[ahmadcr7 mjfunds momentum1],42822,35064,106884,72766,19092,13805,
south-korea,"286046,286046, 504189",south-korea,https://warpcast.com/~/channel/south-korea,ilpyung,286046,,,"ilpyung, 1pyung","286046, 504189",,,[199.eth imthedude goose],65,🎭 subculture,,,<a href='https://warpcast.com/~/channel/south-korea' target='_blank'>south-korea</a>,3,3,[ham.bot) build.top t.me],2777.22572,-1191.339986,3752,-1276,2245,-436,680,331,159,||,303,-212,585,-84,1343,-143,12,3,2,0,||,[yunvlyz baegopayo hotaehotae],45868,-47872,77840,-79062,14125,-14861,
memes,"576,368422,576, 368422,576",Memes,https://warpcast.com/~/channel/memes,nonlinear.eth,576,automod,368422,"nonlinear.eth, automod","576, 368422",576,,[agust.eth linda yb],272,🎭 subculture,,,<a href='https://warpcast.com/~/channel/memes' target='_blank'>memes</a>,3,2,[ham.bot) build.top far.quest],2641.825128,642.6065486,5921,2233,9185,2811,4133,1920,1433,||,4254,1337,2355,745,2475,724,68,4,33,1,||,[kukoishi masterdeem cryptosohail1],37383,18877,121518,15597,14381,3468,
farcasther,"1137,565235,5818, 1137, 19858, 17822, 12021, 368422,1137, 12021, 17822, 19858, 5818",farcastHER,https://warpcast.com/~/channel/farcasther,ivy,1137,automod-davinci,565235,"adrienne, ivy, borrowlucid.eth, erindahl, kbc, automod","5818, 1137, 19858, 17822, 12021, 368422","1137, 12021, 17822, 19858, 5818",,[claireujma undefined adrienne],266,🎭 subculture,,,<a href='https://warpcast.com/~/channel/farcasther' target='_blank'>farcasther</a>,3,3,[build.top ham.bot) far.quest],2520.328955,-1526.013128,2509,-2180,7057,-1275,2480,952,854,||,1360,-39,2661,-701,3016,-527,16,-7,4,-1,||,[atef trangnguyen12 hotaehotae],33170,-45805,148719,-385584,10915,-17436,
art,"9135,9135, 528, 195917, 248954, 368422,1287, 13833, 15275, 193930, 195917, 248954, 262475, 265506, 339017, 528, 9135",Art,https://warpcast.com/~/channel/art,kugusha.eth,9135,,,"kugusha.eth, 0xen, clauswilke, lonliboy, automod","9135, 528, 195917, 248954, 368422","1287, 13833, 15275, 193930, 195917, 248954, 262475, 265506, 339017, 528, 9135",,[agust.eth dragonite.eth claireujma],272,🔍 niche,,,<a href='https://warpcast.com/~/channel/art' target='_blank'>art</a>,2,3,[ham.bot) far.quest foundation.app],2363.932316,-174.3789781,5147,-611,6421,-239,3006,1394,1278,||,2314,23,1871,-146,2182,-116,45,0,9,0,||,[hhhhhhhom wnews rphgrc.eth],29321,-2586,90968,-55048,13610,-1596,
itookaphoto,"283056,283056, 296687",I Took a Photo!,https://warpcast.com/~/channel/itookaphoto,inceptionally,283056,,,"inceptionally, jonathancolton","283056, 296687",,,[puffdood.eth undefined claireujma],113,🔍 niche,,,<a href='https://warpcast.com/~/channel/itookaphoto' target='_blank'>itookaphoto</a>,2,2,[ham.bot) build.top youtu.be],2086.846365,144.2753584,2700,210,4532,396,2083,967,800,||,1254,93,1404,119,1834,176,35,11,5,-3,||,[saniko guillaumemk nuflark],25091,4368,57770,-5099,7655,583,
omof,"281289,281289, 268571, 322313, 322622, 473086",$FOMO by @tocd,https://warpcast.com/~/channel/omof,tocd,281289,,,"tocd, vsnation, pkarakulko, mcp, fomobot","281289, 268571, 322313, 322622, 473086",,,[dragonite.eth 199.eth imthedude],63,🔍 niche,,,<a href='https://warpcast.com/~/channel/omof' target='_blank'>omof</a>,2,2,[frame.theoldcastle.xyz ham.bot) build.top],2022.817443,323.7942577,2799,1129,5515,1586,2530,718,677,||,2001,568,1787,498,1712,524,14,-3,1,-1,||,[tonyminh ajeng mahyar23],25536,8793,42446,4799,5319,370,
perl,"539,539,539, 577, 21417, 248216, 2252, 368422,21417, 2252, 248216, 539, 577",perl,https://warpcast.com/~/channel/perl,ace,539,ace,539,"ace, peter, rue1776, sartocrates, sui, automod","539, 577, 21417, 248216, 2252, 368422","21417, 2252, 248216, 539, 577",,[kevinoconnell dragonite.eth puffdood.eth],132,🔍 niche,,,<a href='https://warpcast.com/~/channel/perl' target='_blank'>perl</a>,2,2,[perl.xyz far.quest ham.bot)],1983.138739,94.65598204,2125,560,4910,150,2067,791,623,||,1344,384,1615,30,1917,-263,30,0,4,-1,||,[tieuthanh cutyyyyyyy jota4live],20780,4832,71141,-7363,8396,-4863,
replyke,"250874,250874, 2904, 368422,250874, 2904",replyke,https://warpcast.com/~/channel/replyke,meguce.eth,250874,,,"meguce.eth, wake, automod","250874, 2904, 368422","250874, 2904",,[agust.eth dragonite.eth puffdood.eth],34,🔍 niche,,,<a href='https://warpcast.com/~/channel/replyke' target='_blank'>replyke</a>,2,2,[ham.bot) build.top far.quest],1875.277461,42.12970173,2015,29,3952,375,1792,696,568,||,1497,17,1142,140,1289,220,22,-1,2,-1,||,[marina-ahmadova decentral-think sheheryarshahab],20748,2220,36232,-4851,6643,-1414,
dev,"191,191, 1407, 6841, 2112, 16877,1407, 16877, 191, 2112, 6841",dev,https://warpcast.com/~/channel/dev,manan,191,,,"manan, zinger, deodad, rubinovitz, emmanuel","191, 1407, 6841, 2112, 16877","1407, 16877, 191, 2112, 6841",,[itai yb linda],272,🔍 niche,,,<a href='https://warpcast.com/~/channel/dev' target='_blank'>dev</a>,2,3,[ham.bot) build.top github.com],1821.527661,-989.9521096,1655,-1286,4386,-1048,1526,636,519,||,870,38,1678,-655,1794,-426,29,-4,15,-1,||,[queenbae mayaa mahan2022],14279,-11070,97761,-345740,10949,-23077,
replyors,"247143,440220,247143, 8152, 236581, 8942, 403090, 234796, 242661",replyors,https://warpcast.com/~/channel/replyors,kylepatrick.eth,247143,notabot,440220,"kylepatrick.eth, undefined, reallyryl, to, sleepypenguin.eth, jitz, puffdood.eth","247143, 8152, 236581, 8942, 403090, 234796, 242661",,,[puffdood.eth dragonite.eth articuno.eth],27,🔍 niche,,,<a href='https://warpcast.com/~/channel/replyors' target='_blank'>replyors</a>,2,2,[ham.bot) build.top far.quest],1732.522106,-372.7057616,1333,-147,4143,-593,1882,660,493,||,1681,-531,1164,-127,1276,68,20,-2,2,-1,||,[karinchan1225 hannah-walsh odogwupete],17712,-7769,29051,-16910,5940,-3701,
